-2, 5, -7, 3, 8, -4, 6, -9, 1, -6, 4, -3, 7, -5, 2, -8, 9, -1, 6, -10, -3, 7, -6, 8, -2
0.25, -0.75, -0.75, 0.75, -0.75, -0.75, -0.75, 0.75, -0.75, -0.75, -0.75, 0.75, -0.75, -0.75, -0.75, -0.75, 0.75, -0.75, -0.75, 0.75, 0.75, 0.75, -0.75, 0.75, 0.75
1.20, 2.20, 1.20, -1.20, 1.20, 1.20, 1.20, -1.20, 1.20, 1.20, 1.20, -1.20, 1.20, 1.20, 1.20, 1.20, -1.20, 1.20, 1.20, -1.20, -1.20, -1.20, 1.20, -1.20, -1.20
0.85, 0.85, 1.85, -0.85, 0.85, 0.85, 0.85, -0.85, 0.85, 0.85, 0.85, -0.85, 0.85, 0.85, 0.85, 0.85, -0.85, 0.85, 0.85, -0.85, -0.85, -0.85, 0.85, -0.85, -0.85
-1.10, -1.10, -1.10, 2.10, -1.10, -1.10, -1.10, 1.10, -1.10, -1.10, -1.10, 1.10, -1.10, -1.10, -1.10, -1.10, 1.10, -1.10, -1.10, 1.10, 1.10, 1.10, -1.10, 1.10, 1.10
-0.60, -0.60, -0.60, 0.60, 0.40, -0.60, -0.60, 0.60, -0.60, -0.60, -0.60, 0.60, -0.60, -0.60, -0.60, -0.60, 0.60, -0.60, -0.60, 0.60, 0.60, 0.60, -0.60, 0.60, 0.60
1.45, 1.45, 1.45, -1.45, 1.45, 2.45, 1.45, -1.45, 1.45, 1.45, 1.45, -1.45, 1.45, 1.45, 1.45, 1.45, -1.45, 1.45, 1.45, -1.45, -1.45, -1.45, 1.45, -1.45, -1.45
-1.30, -1.30, -1.30, 1.30, -1.30, -1.30, -0.30, 1.30, -1.30, -1.30, -1.30, 1.30, -1.30, -1.30, -1.30, -1.30, 1.30, -1.30, -1.30, 1.30, 1.30, 1.30, -1.30, 1.30, 1.30
0.95, 0.95, 0.95, -0.95, 0.95, 0.95, 0.95, 0.05, 0.95, 0.95, 0.95, -0.95, 0.95, 0.95, 0.95, 0.95, -0.95, 0.95, 0.95, -0.95, -0.95, -0.95, 0.95, -0.95, -0.95
-0.50, -0.50, -0.50, 0.50, -0.50, -0.50, -0.50, 0.50, 0.50, -0.50, -0.50, 0.50, -0.50, -0.50, -0.50, -0.50, 0.50, -0.50, -0.50, 0.50, 0.50, 0.50, -0.50, 0.50, 0.50
1.10, 1.10, 1.10, -1.10, 1.10, 1.10, 1.10, -1.10, 1.10, 2.10, 1.10, -1.10, 1.10, 1.10, 1.10, 1.10, -1.10, 1.10, 1.10, -1.10, -1.10, -1.10, 1.10, -1.10, -1.10
-1.40, -1.40, -1.40, 1.40, -1.40, -1.40, -1.40, 1.40, -1.40, -1.40, -0.40, 1.40, -1.40, -1.40, -1.40, -1.40, 1.40, -1.40, -1.40, 1.40, 1.40, 1.40, -1.40, 1.40, 1.40
-0.80, -0.80, -0.80, 0.80, -0.80, -0.80, -0.80, 0.80, -0.80, -0.80, -0.80, 1.80, -0.80, -0.80, -0.80, -0.80, 0.80, -0.80, -0.80, 0.80, 0.80, 0.80, -0.80, 0.80, 0.80
-1.25, -1.25, -1.25, 1.25, -1.25, -1.25, -1.25, 1.25, -1.25, -1.25, -1.25, 1.25, -0.25, -1.25, -1.25, -1.25, 1.25, -1.25, -1.25, 1.25, 1.25, 1.25, -1.25, 1.25, 1.25
0.70, 0.70, 0.70, -0.70, 0.70, 0.70, 0.70, -0.70, 0.70, 0.70, 0.70, -0.70, 0.70, 1.70, 0.70, 0.70, -0.70, 0.70, 0.70, -0.70, -0.70, -0.70, 0.70, -0.70, -0.70
1.55, 1.55, 1.55, -1.55, 1.55, 1.55, 1.55, -1.55, 1.55, 1.55, 1.55, -1.55, 1.55, 1.55, 2.55, 1.55, -1.55, 1.55, 1.55, -1.55, -1.55, -1.55, 1.55, -1.55, -1.55
-0.90, -0.90, -0.90, 0.90, -0.90, -0.90, -0.90, 0.90, -0.90, -0.90, -0.90, 0.90, -0.90, -0.90, -0.90, 0.10, 0.90, -0.90, -0.90, 0.90, 0.90, 0.90, -0.90, 0.90, 0.90
-1.15, -1.15, -1.15, 1.15, -1.15, -1.15, -1.15, 1.15, -1.15, -1.15, -1.15, 1.15, -1.15, -1.15, -1.15, -1.15, 2.15, -1.15, -1.15, 1.15, 1.15, 1.15, -1.15, 1.15, 1.15
0.55, 0.55, 0.55, -0.55, 0.55, 0.55, 0.55, -0.55, 0.55, 0.55, 0.55, -0.55, 0.55, 0.55, 0.55, 0.55, -0.55, 1.55, 0.55, -0.55, -0.55, -0.55, 0.55, -0.55, -0.55
-1.05, -1.05, -1.05, 1.05, -1.05, -1.05, -1.05, 1.05, -1.05, -1.05, -1.05, 1.05, -1.05, -1.05, -1.05, -1.05, 1.05, -1.05, -0.05, 1.05, 1.05, 1.05, -1.05, 1.05, 1.05
1.35, 1.35, 1.35, -1.35, 1.35, 1.35, 1.35, -1.35, 1.35, 1.35, 1.35, -1.35, 1.35, 1.35, 1.35, 1.35, -1.35, 1.35, 1.35, -0.35, -1.35, -1.35, 1.35, -1.35, -1.35
-0.65, -0.65, -0.65, 0.65, -0.65, -0.65, -0.65, 0.65, -0.65, -0.65, -0.65, 0.65, -0.65, -0.65, -0.65, -0.65, 0.65, -0.65, -0.65, 0.65, 1.65, 0.65, -0.65, 0.65, 0.65
0.98, 0.98, 0.98, -0.98, 0.98, 0.98, 0.98, -0.98, 0.98, 0.98, 0.98, -0.98, 0.98, 0.98, 0.98, 0.98, -0.98, 0.98, 0.98, -0.98, -0.98, 0.02, 0.98, -0.98, -0.98
1.25, 1.25, 1.25, -1.25, 1.25, 1.25, 1.25, -1.25, 1.25, 1.25, 1.25, -1.25, 1.25, 1.25, 1.25, 1.25, -1.25, 1.25, 1.25, -1.25, -1.25, -1.25, 2.25, -1.25, -1.25
-0.85, -0.85, -0.85, 0.85, -0.85, -0.85, -0.85, 0.85, -0.85, -0.85, -0.85, 0.85, -0.85, -0.85, -0.85, -0.85, 0.85, -0.85, -0.85, 0.85, 0.85, 0.85, -0.85, 1.85, 0.85
1.40, 1.40, 1.40, -1.40, 1.40, 1.40, 1.40, -1.40, 1.40, 1.40, 1.40, -1.40, 1.40, 1.40, 1.40, 1.40, -1.40, 1.40, 1.40, -1.40, -1.40, -1.40, 1.40, -1.40, -0.40
