-24.68, -128.59, 7.19, -99.72, -143.67, 172.05, -118.86, -98.49, 135.44, 39.96
12.34, 0, 0, 0, 0, 0, 0, 0, 0, 0
5.67, -23.45, 0, 0, 0, 0, 0, 0, 0, 0
-3.21, 14.14, 9.99, 0, 0, 0, 0, 0, 0, 0
6.78, -7.89, 2.34, -10.11, 0, 0, 0, 0, 0, 0
3.33, -8.88, 1.11, 12.12, -15.15, 0, 0, 0, 0, 0
-4.56, 7.89, -3.21, 5.55, 6.66, -7.77, 0, 0, 0, 0
8.88, -6.66, 3.33, -9.99, 2.22, 1.23, -4.56, 0, 0, 0
-2.34, 4.56, -7.89, 1.11, -3.33, 5.67, -8.90, 9.09, 0, 0
6.01, -2.02, 3.03, -4.04, 5.05, -6.06, 7.07, -8.08, 11.11, 0
5.55, -6.66, 7.77, -8.88, 9.99, -1.11, 2.22, -3.33, 4.44, -5.55
