-65.10, 217.25, -264.06, 139.95, 275.64, -156.15, 234.15, -391.50, 47.19, -238.11, 152.04, -123.24, 249.18, -233.90, 73.44, -385.19, 287.64, -40.36, 190.50, -491.35
36.21, 1.32, 1.08, 1.56, 0.84, 1.44, 1.20, 0.72, 1.68, 0.60, 1.80, 0.96, 1.32, 1.08, 1.56, 0.84, 1.44, 1.20, 0.72, 1.68
1.20, 43.75, 1.35, 1.95, 1.05, 1.80, 1.50, 0.90, 2.10, 0.75, 2.25, 1.20, 1.65, 1.35, 1.95, 1.05, 1.80, 1.50, 0.90, 2.10
1.44, 1.98, 40.50, 2.34, 1.26, 2.16, 1.80, 1.08, 2.52, 0.90, 2.70, 1.44, 1.98, 1.62, 2.34, 1.26, 2.16, 1.80, 1.08, 2.52
0.88, 1.21, 0.99, 46.43, 0.77, 1.32, 1.10, 0.66, 1.54, 0.55, 1.65, 0.88, 1.21, 0.99, 1.43, 0.77, 1.32, 1.10, 0.66, 1.54
1.60, 2.20, 1.80, 2.60, 34.73, 2.40, 2.00, 1.20, 2.80, 1.00, 3.00, 1.60, 2.20, 1.80, 2.60, 1.40, 2.40, 2.00, 1.20, 2.80
1.04, 1.43, 1.17, 1.69, 0.91, 42.06, 1.30, 0.78, 1.82, 0.65, 1.95, 1.04, 1.43, 1.17, 1.69, 0.91, 1.56, 1.30, 0.78, 1.82
1.36, 1.87, 1.53, 2.21, 1.19, 2.04, 39.45, 1.02, 2.38, 0.85, 2.55, 1.36, 1.87, 1.53, 2.21, 1.19, 2.04, 1.70, 1.02, 2.38
1.12, 1.54, 1.26, 1.82, 0.98, 1.68, 1.40, 45.04, 1.96, 0.70, 2.10, 1.12, 1.54, 1.26, 1.82, 0.98, 1.68, 1.40, 0.84, 1.96
1.28, 1.76, 1.44, 2.08, 1.12, 1.92, 1.60, 0.96, 42.23, 0.80, 2.40, 1.28, 1.76, 1.44, 2.08, 1.12, 1.92, 1.60, 0.96, 2.24
1.52, 2.09, 1.71, 2.47, 1.33, 2.28, 1.90, 1.14, 2.66, 42.06, 2.85, 1.52, 2.09, 1.71, 2.47, 1.33, 2.28, 1.90, 1.14, 2.66
0.96, 1.32, 1.08, 1.56, 0.84, 1.44, 1.20, 0.72, 1.68, 0.60, 38.46, 0.96, 1.32, 1.08, 1.56, 0.84, 1.44, 1.20, 0.72, 1.68
1.20, 1.65, 1.35, 1.95, 1.05, 1.80, 1.50, 0.90, 2.10, 0.75, 2.25, 44.53, 1.65, 1.35, 1.95, 1.05, 1.80, 1.50, 0.90, 2.10
1.44, 1.98, 1.62, 2.34, 1.26, 2.16, 1.80, 1.08, 2.52, 0.90, 2.70, 1.44, 36.42, 1.62, 2.34, 1.26, 2.16, 1.80, 1.08, 2.52
0.88, 1.21, 0.99, 1.43, 0.77, 1.32, 1.10, 0.66, 1.54, 0.55, 1.65, 0.88, 1.21, 48.76, 1.43, 0.77, 1.32, 1.10, 0.66, 1.54
1.60, 2.20, 1.80, 2.60, 1.40, 2.40, 2.00, 1.20, 2.80, 1.00, 3.00, 1.60, 2.20, 1.80, 34.82, 1.40, 2.40, 2.00, 1.20, 2.80
1.04, 1.43, 1.17, 1.69, 0.91, 1.56, 1.30, 0.78, 1.82, 0.65, 1.95, 1.04, 1.43, 1.17, 1.69, 49.79, 1.56, 1.30, 0.78, 1.82
1.36, 1.87, 1.53, 2.21, 1.19, 2.04, 1.70, 1.02, 2.38, 0.85, 2.55, 1.36, 1.87, 1.53, 2.21, 1.19, 33.15, 1.70, 1.02, 2.38
1.12, 1.54, 1.26, 1.82, 0.98, 1.68, 1.40, 0.84, 1.96, 0.70, 2.10, 1.12, 1.54, 1.26, 1.82, 0.98, 1.68, 48.06, 0.84, 1.96
1.28, 1.76, 1.44, 2.08, 1.12, 1.92, 1.60, 0.96, 2.24, 0.80, 2.40, 1.28, 1.76, 1.44, 2.08, 1.12, 1.92, 1.60, 31.51, 2.24
1.52, 2.09, 1.71, 2.47, 1.33, 2.28, 1.90, 1.14, 2.66, 0.95, 2.85, 1.52, 2.09, 1.71, 2.47, 1.33, 2.28, 1.90, 1.14, 52.65
